"LABID","Duplicates","Flags","FIELDID","Animal_ID","Stage_Class","Cruise","Platform","Shipper","Shipper_Organization","Shipped_Date","Received_Date","Collection_Method","Contact_ID","CONTACT_NAME","Organization_ID","Organization","Collector","Collector_Organization","Acknowledgement","Label","LAB","SpCode","SpType","Species_Type","SpName","Genus","Species","CommonName","USE","Restrict_Description","YR","MO","DA","Location","City","Island","County","State","Country","Latitude","Latitude_Precision","Latitude_Precision_Unit","Longitude","Longitude_Precision","Longitude_Precision_Unit","OBasin","Ocean_Basin","SEX","Gender_Determination","ACCESSIONDATE","GENBANK.","GENBANK1","GENBANK2","GENBANK3","COMMENTS","Record_Creation_Date","Edit_User","Edit_Date"
6,,,"DSJ900927.01",181503,,"1990-MOPS-DSJ",,,,,,"BIOPSY (PROJECTILE)",603,"LISA Ballance",1,"SWFSC",,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,"ARC","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","N",,1990,9,27,"ETP",,,,,,7.333333,1,"Minute",-82.083333,1,"Minute",1,"North Pacific","U",,,,,,,"use restriction changed to NO in 2020 due to Ballance retirement; contact E. Archer if questions",5/31/2012 15:57:57,"dan.prosperi",6/24/2022 13:52:07
7,,,"MAC901031.02",181504,,"1990-MOPS-MAC",,,,,,"BIOPSY (PROJECTILE)",603,"LISA Ballance",1,"SWFSC",,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,"ARC","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","N",,1990,10,31,"ETP",,,,,,-4.583333,1,"Minute",-82.516666,1,"Minute",4,"South Pacific","U",,,,,,,"use restriction changed to NO in 2020 due to Ballance retirement; contact E. Archer if questions",5/31/2012 15:57:58,"dan.prosperi",6/24/2022 13:52:07
8,,,"MAC901031.01",181505,,"1990-MOPS-MAC",,,,,,"BIOPSY (PROJECTILE)",603,"LISA Ballance",1,"SWFSC",,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,"ARC","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","N",,1990,10,31,"ETP",,,,,,-4.666666,1,"Minute",-82.533333,1,"Minute",4,"South Pacific","U",,,,,,,"use restriction changed to NO in 2020 due to Ballance retirement; contact E. Archer if questions",5/31/2012 15:57:58,"dan.prosperi",6/24/2022 13:52:07
9,,,"MAC901031.03",181506,,"1990-MOPS-MAC",,,,,,"BIOPSY (PROJECTILE)",603,"LISA Ballance",1,"SWFSC",,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,"ARC","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","N",,1990,10,31,"ETP",,,,,,-4.583333,1,"Minute",-82.516666,1,"Minute",4,"South Pacific","U",,,,,,,"use restriction changed to NO in 2020 due to Ballance retirement; contact E. Archer if questions",5/31/2012 15:57:58,"dan.prosperi",6/24/2022 13:52:07
28,,,"SWF-TT-8510-B",181525,,,,,,,,"STRANDING",464,"DAN ODELL",497,"SEA WORLD OF FLORIDA",,,,,"ARC","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","N",,1985,3,16,"PONCE INLET",,,"Volusia","FLORIDA","UNITED STATES OF AMERICA",29.066666,1,"Minute",-80.933333,1,"Minute",2,"North Atlantic","M","Field determination: gonads were examined; carcass was examined and dissected.",,,,,,"changed to not use restircted 2021 after 20 years of no permission contact.  nearly all samples were made available to us by N. Barros, Dan Odell not interested in monitoring, made not use restricted",5/31/2012 15:57:58,"dan.prosperi",6/8/2022 7:21:53
36,,,"SWF-TT-8533-B",181532,,,,,,,,"STRANDING",464,"DAN ODELL",497,"SEA WORLD OF FLORIDA",,,,,"ARC","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","N",,1985,7,28,,,,,"FLORIDA","UNITED STATES OF AMERICA",28.416666,1,"Minute",-80.75,1,"Minute",2,"North Atlantic","M","Field determination: gonads were examined; carcass was examined and dissected.",,,,,,"changed to not use restircted 2021 after 20 years of no permission contact.  nearly all samples were made available to us by N. Barros, Dan Odell not interested in monitoring, made not use restricted",5/31/2012 15:57:58,"dan.prosperi",6/8/2022 7:21:53
48,,,"UNKNOWN",181544,,,,,,,,"UNKNOWN",,,,,,,,,,"018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","Y","No tissue or DNA available for loan",,,,,,,,,,,,,,,,9,"Unknown","U",,,,,,,"NO MATERIAL LEFT.  Source was recorded as ""UNKNOWN-NO DATA""",5/31/2012 15:57:58,"dan.prosperi",6/7/2022 14:59:41
76,,,"DSJ900825.01",181572,,"1990-MOPS-DSJ",,,,,,"BIOPSY (PROJECTILE)",603,"LISA Ballance",1,"SWFSC",,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,"JPB","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","N",,1990,8,25,"ETP",,,,,,12.783333,1,"Minute",-93.333333,1,"Minute",1,"North Pacific","U",,,,,,,"use restriction changed to NO in 2020 due to Ballance retirement; contact E. Archer if questions",5/31/2012 15:57:59,"dan.prosperi",6/24/2022 13:52:07
77,,,"DSJ900901.01",181573,,"1990-MOPS-DSJ",,,,,,"BIOPSY (PROJECTILE)",603,"LISA Ballance",1,"SWFSC",,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,"JPB","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","N",,1990,9,1,"ETP",,,,,,11.733333,1,"Minute",-92.033333,1,"Minute",1,"North Pacific","U",,,,,,,"LOAN 112, ABOUT 1.5ML OF DNA LEFT.  use restriction changed to NO in 2020 due to Ballance retirement; contact E. Archer if questions",5/31/2012 15:57:59,"dan.prosperi",6/24/2022 13:52:07
80,,,"DSJ900922.01",181576,,"1990-MOPS-DSJ",,,,,,"BIOPSY (PROJECTILE)",603,"LISA Ballance",1,"SWFSC",,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,"JPB","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","N",,1990,9,22,"CULPEPPER IS.",,"Galapagos Islands",,"Galapagos","ECUADOR",1.633333,1,"Minute",-91.966666,1,"Minute",1,"North Pacific","U",,,,,,,"use restriction changed to NO in 2020 due to Ballance retirement; contact E. Archer if questions",5/31/2012 15:57:59,"dan.prosperi",6/24/2022 13:52:07
81,,,"DSJ900922.02",181577,,"1990-MOPS-DSJ",,,,,,"BIOPSY (PROJECTILE)",603,"LISA Ballance",1,"SWFSC",,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,"JPB","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","N",,1990,9,22,"CULPEPPER IS.",,"Galapagos Islands",,"Galapagos","ECUADOR",1.633333,1,"Minute",-91.966666,1,"Minute",1,"North Pacific","U",,,,,,,"use restriction changed to NO in 2020 due to Ballance retirement; contact E. Archer if questions",5/31/2012 15:57:59,"dan.prosperi",6/24/2022 13:52:07
82,,,"DSJ900922.03",181578,,"1990-MOPS-DSJ",,,,,,"BIOPSY (PROJECTILE)",603,"LISA Ballance",1,"SWFSC",,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,"JPB","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","N",,1990,9,22,"CULPEPPER IS.",,"Galapagos Islands",,"Galapagos","ECUADOR",1.633333,1,"Minute",-91.966666,1,"Minute",1,"North Pacific","U",,,,,,,"use restriction changed to NO in 2020 due to Ballance retirement; contact E. Archer if questions",5/31/2012 15:57:59,"dan.prosperi",6/24/2022 13:52:07
83,,,"DSJ900922.04",181579,,"1990-MOPS-DSJ",,,,,,"BIOPSY (PROJECTILE)",603,"LISA Ballance",1,"SWFSC",,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,"JPB","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","N",,1990,9,22,"CULPEPPER IS.",,"Galapagos Islands",,"Galapagos","ECUADOR",1.633333,1,"Minute",-91.966666,1,"Minute",1,"North Pacific","U",,,,,,,"use restriction changed to NO in 2020 due to Ballance retirement; contact E. Archer if questions",5/31/2012 15:57:59,"dan.prosperi",6/24/2022 13:52:07
84,,,"DSJ900927.02",181580,,"1990-MOPS-DSJ",,,,,,"BIOPSY (PROJECTILE)",603,"LISA Ballance",1,"SWFSC",,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,"JPB","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","N",,1990,9,27,"ETP",,,,,,7.333333,1,"Minute",-82.083333,1,"Minute",1,"North Pacific","U",,,,,,,"LOAN 112, ABOUT 1.5ML OF DNA LEFT.  use restriction changed to NO in 2020 due to Ballance retirement; contact E. Archer if questions",5/31/2012 15:57:59,"dan.prosperi",6/24/2022 13:52:07
87,,,"DSJ901014.01",181583,,"1990-MOPS-DSJ",,,,,,"BIOPSY (PROJECTILE)",603,"LISA Ballance",1,"SWFSC",,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,"JPB","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","N",,1990,10,14,"ETP",,,,,,6.916666,1,"Minute",-91.833333,1,"Minute",1,"North Pacific","U",,,,,,,"LOAN 112.  use restriction changed to NO in 2020 due to Ballance retirement; contact E. Archer if questions",5/31/2012 15:57:59,"dan.prosperi",6/24/2022 13:52:07
88,,,"DSJ901014.02",181584,,"1990-MOPS-DSJ",,,,,,"BIOPSY (PROJECTILE)",603,"LISA Ballance",1,"SWFSC",,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,"JPB","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","N",,1990,10,14,"ETP",,,,,,6.916666,1,"Minute",-91.833333,1,"Minute",1,"North Pacific","U",,,,,,,"use restriction changed to NO in 2020 due to Ballance retirement; contact E. Archer if questions",5/31/2012 15:57:59,"dan.prosperi",6/24/2022 13:52:07
89,,,"DSJ901014.03",181585,,"1990-MOPS-DSJ",,,,,,"BIOPSY (PROJECTILE)",603,"LISA Ballance",1,"SWFSC",,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,"JPB","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","N",,1990,10,14,"ETP",,,,,,6.916666,1,"Minute",-91.833333,1,"Minute",1,"North Pacific","U",,,,,,,"use restriction changed to NO in 2020 due to Ballance retirement; contact E. Archer if questions",5/31/2012 15:57:59,"dan.prosperi",6/24/2022 13:52:07
102,,,"MAC901031.04",181598,,"1990-MOPS-MAC",,,,,,"BIOPSY (PROJECTILE)",603,"LISA Ballance",1,"SWFSC",,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,"JPB","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","N",,1990,10,31,"ETP",,,,,,4.583333,1,"Minute",-82.516666,1,"Minute",1,"North Pacific","U",,,,,,,"use restriction changed to NO in 2020 due to Ballance retirement; contact E. Archer if questions",5/31/2012 15:57:59,"dan.prosperi",6/24/2022 13:52:07
123,,,"DSJ890825.03",181619,,"1989-MOPS-DSJ",,,,,,"BIOPSY (PROJECTILE)",603,"LISA Ballance",1,"SWFSC",,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,"JPB","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","N",,1989,8,25,"ETP",,,,,,13.133333,1,"Minute",-94.933333,1,"Minute",1,"North Pacific","U",,,,,,,"use restriction changed to NO in 2020 due to Ballance retirement; contact E. Archer if questions",5/31/2012 15:57:59,"dan.prosperi",6/24/2022 13:52:07
125,,,"DSJ890825.05",181621,,"1989-MOPS-DSJ",,,,,,"BIOPSY (PROJECTILE)",603,"LISA Ballance",1,"SWFSC",,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,"JPB","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","N",,1989,8,25,"ETP",,,,,,13.133333,1,"Minute",-94.933333,1,"Minute",1,"North Pacific","U",,,,,,,"use restriction changed to NO in 2020 due to Ballance retirement; contact E. Archer if questions",5/31/2012 15:57:59,"dan.prosperi",6/24/2022 13:52:07
131,,,"DSJ890915.01",181627,,"1989-MOPS-DSJ",,,,,,"BIOPSY (PROJECTILE)",603,"LISA Ballance",1,"SWFSC",,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,"JPB","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","N",,1989,9,15,"ETP",,,,,,15.783333,1,"Minute",-97.333333,1,"Minute",1,"North Pacific","U",,,,,,,"use restriction changed to NO in 2020 due to Ballance retirement; contact E. Archer if questions",5/31/2012 15:57:59,"dan.prosperi",6/24/2022 13:52:07
132,,,"DSJ890925.04",181628,,"1989-MOPS-DSJ",,,,,,"BIOPSY (PROJECTILE)",603,"LISA Ballance",1,"SWFSC",,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,"JPB","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","N",,1989,9,25,"ETP",,,,,,1.416666,1,"Minute",-91.95,1,"Minute",1,"North Pacific","U",,,,,,,"use restriction changed to NO in 2020 due to Ballance retirement; contact E. Archer if questions",5/31/2012 15:57:59,"dan.prosperi",6/24/2022 13:52:07
133,,,"DSJ891013.01",181629,,"1989-MOPS-DSJ",,,,,,"BIOPSY (PROJECTILE)",603,"LISA Ballance",1,"SWFSC",,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,"JPB","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","N",,1989,10,13,"ETP",,,,,,7,1,"Minute",-85.233333,1,"Minute",1,"North Pacific","U",,,,,,,"use restriction changed to NO in 2020 due to Ballance retirement; contact E. Archer if questions",5/31/2012 15:57:59,"dan.prosperi",6/24/2022 13:52:07
134,,,"DSJ891013.02",181630,,"1989-MOPS-DSJ",,,,,,"BIOPSY (PROJECTILE)",603,"LISA Ballance",1,"SWFSC",,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,"JPB","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","N",,1989,10,13,"ETP",,,,,,7,1,"Minute",-85.233333,1,"Minute",1,"North Pacific","U",,,,,,,"use restriction changed to NO in 2020 due to Ballance retirement; contact E. Archer if questions",5/31/2012 15:57:59,"dan.prosperi",6/24/2022 13:52:07
135,,,"DSJ891013.03",181631,,"1989-MOPS-DSJ",,,,,,"BIOPSY (PROJECTILE)",603,"LISA Ballance",1,"SWFSC",,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,"JPB","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","N",,1989,10,13,"ETP",,,,,,7,1,"Minute",-85.233333,1,"Minute",1,"North Pacific","U",,,,,,,"use restriction changed to NO in 2020 due to Ballance retirement; contact E. Archer if questions",5/31/2012 15:57:59,"dan.prosperi",6/24/2022 13:52:07
136,,,"DSJ891013.04",181632,,"1989-MOPS-DSJ",,,,,,"BIOPSY (PROJECTILE)",603,"LISA Ballance",1,"SWFSC",,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,"JPB","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","N",,1989,10,13,"ETP",,,,,,7,1,"Minute",-85.233333,1,"Minute",1,"North Pacific","U",,,,,,,"use restriction changed to NO in 2020 due to Ballance retirement; contact E. Archer if questions",5/31/2012 15:57:59,"dan.prosperi",6/24/2022 13:52:07
221,,,"JVK0047",181703,,,,,,,,"STRANDING",398,"STRANDING COORDINATOR ",1,"SWFSC",,,"NMFS, Southwest Fisheries Science Center",,"K_D","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","Y","Sample is being used for a SWFSC project",1991,6,5,"LA JOLLA, WIND N SEA",,,"San Diego","CALIFORNIA","UNITED STATES OF AMERICA",32.833333,1,"Minute",-117.283333,1,"Minute",1,"North Pacific","F","Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.",,,,,,"1 EXTRA VIAL OF LIVER(FRZR) ADDED ON 2/16/07 FOR J.LOWTHER'S TTRU PROJECT, ASSIGNED COASTAL POP, LOAN 196",5/31/2012 15:58:00,"dan.prosperi",1/17/2023 14:27:13
298,,,"KZP0018",181775,,,,,,,,"STRANDING",398,"STRANDING COORDINATOR ",1,"SWFSC",,,"NMFS, Southwest Fisheries Science Center",,"K_D","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","N",,1990,8,3,"LA JOLLA, BLACKS BEACH",,,"San Diego","CALIFORNIA","UNITED STATES OF AMERICA",32.883333,1,"Minute",-117.25,1,"Minute",1,"North Pacific","F","Field determination: gonads were examined; carcass was examined and dissected.",,,,,,"O=LIVER",5/31/2012 15:58:02,"dan.prosperi",6/8/2022 7:21:53
300,,,"KZP0017",181776,,,,,,,,"STRANDING",398,"STRANDING COORDINATOR ",1,"SWFSC",,,"NMFS, Southwest Fisheries Science Center",,"K_D","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","N",,1990,5,10,"OCEANSIDE HARBOR",,,,"CALIFORNIA","UNITED STATES OF AMERICA",33.216666,1,"Minute",-117.366666,1,"Minute",1,"North Pacific","F","Field determination: gonads were examined; carcass was examined and dissected.",,,,,,"ASSIGNED COASTAL POP",5/31/2012 15:58:02,"dan.prosperi",6/8/2022 7:21:53
402,,,"JVK0050",181872,,,,,,,,"STRANDING",398,"STRANDING COORDINATOR ",1,"SWFSC",,,"NMFS, Southwest Fisheries Science Center",,"K_D","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","Y","Sample is being used for a SWFSC project",1992,2,27,"LA JOLLA",,,"San Diego","CALIFORNIA","UNITED STATES OF AMERICA",32.816666,1,"Minute",-117.266666,1,"Minute",1,"North Pacific","M","Field determination: gonads were examined; carcass was examined and dissected.",,,,,,"1 EXTRA VIAL OF LIVER(FRZR) ADDED ON 2/16/07 FOR J.LOWTHER'S TTRU PROJECT, ASSIGNED COASTAL POP",5/31/2012 15:58:03,"dan.prosperi",1/17/2023 14:27:13
507,,,"OBS0085/USNM571381",181974,,,,,,,,"BYCATCH",470,"Darrin Lunde",256,"DIVISION OF MAMMALS, SMITHSONIAN INSTITUTION",,,"National Museum of Natural History, Smithsonian Institute",,"KMR","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","Y","Donator requested that PI request permission to use in study",1989,8,26,"NORTH ATLANTIC",,,,,,,,,,,,2,"North Atlantic","F","Field determination: gonads were examined; carcass was examined and dissected.",,,,,,"Include USNM accession number in Ack; Charlie Potter original contributor.  Source was recorded as ""FISHERY-USNM""",5/31/2012 15:58:05,"dan.prosperi",6/22/2022 14:15:26
508,,,"OBS0086/USNM571382",181975,,,,,,,,"BYCATCH",470,"Darrin Lunde",256,"DIVISION OF MAMMALS, SMITHSONIAN INSTITUTION",,,"National Museum of Natural History, Smithsonian Institute",,"KMR","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","Y","Donator requested that PI request permission to use in study",1989,1,3,"NORTH ATLANTIC",,,,,,40.5,1,"Minute",-66.95,1,"Minute",2,"North Atlantic","F","Field determination: gonads were examined; carcass was examined and dissected.",,,,,,"Include USNM accession number in Ack; Charlie Potter original contributor.  Source was recorded as ""FISHERY-USNM""",5/31/2012 15:58:05,"dan.prosperi",6/22/2022 14:15:26
509,,,"OBS0087/USNM571383",181976,,,,,,,,"BYCATCH",470,"Darrin Lunde",256,"DIVISION OF MAMMALS, SMITHSONIAN INSTITUTION",,,"National Museum of Natural History, Smithsonian Institute",,"KMR","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","Y","Donator requested that PI request permission to use in study",1989,1,3,"NORTH ATLANTIC",,,,,,40.483333,1,"Minute",-67.05,1,"Minute",2,"North Atlantic","F","Field determination: gonads were examined; carcass was examined and dissected.",,,,,,"Include USNM accession number in Ack; Charlie Potter original contributor.  Source was recorded as ""FISHERY-USNM""",5/31/2012 15:58:05,"dan.prosperi",6/22/2022 14:15:26
510,,,"OBS0089/USNM571385",181977,,,,,,,,"BYCATCH",470,"Darrin Lunde",256,"DIVISION OF MAMMALS, SMITHSONIAN INSTITUTION",,,"National Museum of Natural History, Smithsonian Institute",,"KMR","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","Y","Donator requested that PI request permission to use in study",1989,1,5,"NORTH ATLANTIC",,,,,,40.483333,1,"Minute",-67.05,1,"Minute",2,"North Atlantic","M","Field determination: gonads were examined; carcass was examined and dissected.",,,,,,"Include USNM accession number in Ack; Charlie Potter original contributor.  Source was recorded as ""FISHERY-USNM""",5/31/2012 15:58:05,"dan.prosperi",6/22/2022 14:15:26
525,,,"USNM571414",181992,,,,,,,,"STRANDING",470,"Darrin Lunde",256,"DIVISION OF MAMMALS, SMITHSONIAN INSTITUTION",,,"National Museum of Natural History, Smithsonian Institute",,"KMR","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","Y","Donator requested that PI request permission to use in study",1990,7,23,,,"Bodie Island",,"NORTH CAROLINA","UNITED STATES OF AMERICA",35.8,1,"Minute",-75.516666,1,"Minute",2,"North Atlantic","M","Field determination: gonads were examined; carcass was examined and dissected.",,,,,,"Include USNM accession number in Ack; Charlie Potter original contributor.  Source was recorded as ""STRAND-NC-USNM""",5/31/2012 15:58:05,"dan.prosperi",6/22/2022 14:15:26
527,,,"NEFC0240/USNM571427",181994,,,,,,,,"BYCATCH",470,"Darrin Lunde",256,"DIVISION OF MAMMALS, SMITHSONIAN INSTITUTION",,,"National Museum of Natural History, Smithsonian Institute",,"KMR","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","Y","Donator requested that PI request permission to use in study",1990,9,18,"NORTH ATLANTIC",,,,,,40,1,"Minute",-69.033333,1,"Minute",2,"North Atlantic","M","Unknown",,,,,,"Include USNM accession number in Ack; Charlie Potter original contributor.  Source was recorded as ""FISHERY-USNM""",5/31/2012 15:58:05,"dan.prosperi",6/22/2022 14:15:26
528,,,"NEFC0271/USNM571428",181995,,,,,,,,"BYCATCH",470,"Darrin Lunde",256,"DIVISION OF MAMMALS, SMITHSONIAN INSTITUTION",,,"National Museum of Natural History, Smithsonian Institute",,"KMR","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","Y","Donator requested that PI request permission to use in study",1990,9,18,"NORTH ATLANTIC",,,,,,40,1,"Minute",-69.033333,1,"Minute",2,"North Atlantic","F","Unknown",,,,,,"Include USNM accession number in Ack; Charlie Potter original contributor.  Source was recorded as ""FISHERY-USNM""",5/31/2012 15:58:05,"dan.prosperi",6/22/2022 14:15:26
530,,,"NEFC0331/USNM571439",181997,,,,,,,,"BYCATCH",470,"Darrin Lunde",256,"DIVISION OF MAMMALS, SMITHSONIAN INSTITUTION",,,"National Museum of Natural History, Smithsonian Institute",,"KMR","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","Y","Donator requested that PI request permission to use in study",1990,11,9,"NORTH ATLANTIC",,,,,,36.55,1,"Minute",-74.683333,1,"Minute",2,"North Atlantic","M","Unknown",,,,,,"Include USNM accession number in Ack; Charlie Potter original contributor.  Source was recorded as ""FISHERY-USNM""",5/31/2012 15:58:05,"dan.prosperi",6/22/2022 14:15:26
539,,,"USNM571494",182005,,,,,,,,"STRANDING",470,"Darrin Lunde",256,"DIVISION OF MAMMALS, SMITHSONIAN INSTITUTION",,,"National Museum of Natural History, Smithsonian Institute",,"KMR","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","Y","Donator requested that PI request permission to use in study",,,,,,,,"NEW YORK","UNITED STATES OF AMERICA",,,,,,,2,"North Atlantic","M","Field determination: external exam only; live animal or carcass was examined but not dissected.",,,,,,"Include USNM accession number in Ack; Charlie Potter original contributor.  Source was recorded as ""STRAND-NY-USNM""",5/31/2012 15:58:05,"dan.prosperi",6/22/2022 14:15:26
595,,,"ORII920512.01",182061,,,"Oregon II",,,,,"BIOPSY (PROJECTILE)",729,"WAYNE HOGGARD",274,"Southeast Fisheries Science Center, Mississippi",,,"NMFS, SEFSC, Pascagoula Lab",,"RLP","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","N",,1992,5,12,"GULF OF MEXICO",,,,,"UNITED STATES OF AMERICA",29.316666,1,"Minute",-87.65,1,"Minute",2,"North Atlantic","U",,,,,,,"no restrictions",5/31/2012 15:58:06,"dan.prosperi",6/23/2022 15:28:41
602,,,"ORII920524.01",182068,,,"Oregon II",,,,,"BIOPSY (PROJECTILE)",729,"WAYNE HOGGARD",274,"Southeast Fisheries Science Center, Mississippi",,,"NMFS, SEFSC, Pascagoula Lab",,"RLP","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","N",,1992,5,24,"GULF OF MEXICO",,,,,"UNITED STATES OF AMERICA",27.633333,1,"Minute",-95.55,1,"Minute",2,"North Atlantic","U",,,,,,,"no restrictions",5/31/2012 15:58:06,"dan.prosperi",6/23/2022 15:28:41
603,,,"ORII920524.02",182069,,,"Oregon II",,,,,"BIOPSY (PROJECTILE)",729,"WAYNE HOGGARD",274,"Southeast Fisheries Science Center, Mississippi",,,"NMFS, SEFSC, Pascagoula Lab",,"RLP","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","N",,1992,5,24,"GULF OF MEXICO",,,,,"UNITED STATES OF AMERICA",27.633333,1,"Minute",-95.55,1,"Minute",2,"North Atlantic","U",,,,,,,"no restrictions",5/31/2012 15:58:06,"dan.prosperi",6/23/2022 15:28:41
632,,,"WTN0001",182098,,,,,,,,"STRANDING",398,"STRANDING COORDINATOR ",1,"SWFSC",,,"NMFS, Southwest Fisheries Science Center",,"K_D","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","N",,1992,7,24,"SAN CLEMENTE STATE BEACH",,,,"CALIFORNIA","UNITED STATES OF AMERICA",33.4,1,"Minute",-117.6,1,"Minute",1,"North Pacific","M","Field determination: external exam only; live animal or carcass was examined but not dissected.",,,,,,"ASSIGNED COASTAL POP",5/31/2012 15:58:08,"dan.prosperi",6/8/2022 7:21:53
633,,,"WTN0003",182099,,,,,,,,"STRANDING",398,"STRANDING COORDINATOR ",1,"SWFSC",,,"NMFS, Southwest Fisheries Science Center",,"K_D","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","Y","Sample is being used for a SWFSC project",1992,8,13,"IMPERIAL BEACH",,,"San Diego","CALIFORNIA","UNITED STATES OF AMERICA",32.583333,1,"Minute",-117.133333,1,"Minute",1,"North Pacific","F","Field determination: external exam only; live animal or carcass was examined but not dissected.",,,,,,"1 EXTRA VIAL OF LIVER(FRZR) ADDED ON 2/16/07 FOR J.LOWTHER'S TTRU PROJECT, ASSIGNED COASTAL POP",5/31/2012 15:58:08,"dan.prosperi",1/17/2023 14:27:13
634,,,"RT-0412",182100,,,,,,,,"BIOPSY (PROJECTILE)",594,"LARRY HANSEN",276,"Southeast Fisheries Science Center, Charleston 2",,,,,"ARC","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","N",,1992,7,10,"MATAGORDA BAY",,,,"TEXAS","UNITED STATES OF AMERICA",28.416666,1,"Minute",-96.45,1,"Minute",2,"North Atlantic","M","Field determination: external exam only; live animal or carcass was examined but not dissected.",,,,,,,5/31/2012 15:58:08,"dan.prosperi",6/23/2022 15:01:59
